title,type,episodes,rating,score,rank,popularity,members,favorites,premiered,studio,genre
3-gatsu no Lion,TV,22,PG-13 - Teens 13 or older,8.43,148.0,391,192932,3918,Fall 2016,Shaft,"Slice of Life, Drama, Seinen"
Doukyuusei (Movie),Movie,1,PG-13 - Teens 13 or older,8.43,149.0,1242,65571,1543,,A-1 Pictures,"Slice of Life, Romance"
Kizumonogatari I: Tekketsu-hen,Movie,1,R - 17+ (violence & profanity),8.43,150.0,392,192398,1025,,Shaft,Mystery
Kemono no Souja Erin,TV,50,PG-13 - Teens 13 or older,8.43,150.0,1544,49279,1098,Winter 2009,"Production I.G, Trans Arts","Drama, Fantasy, Slice of Life"
Ookami to Koushinryou II,TV,12,PG-13 - Teens 13 or older,8.43,151.0,240,275634,3185,Summer 2009,"Brain&#039;s Base, Marvy Jack","Adventure, Historical, Romance, Fantasy"
Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,R - 17+ (violence & profanity),8.43,153.0,36,720575,27120,Spring 2016,White Fox,"Psychological, Drama, Thriller, Fantasy"
Diamond no Ace: Second Season,TV,51,PG-13 - Teens 13 or older,8.42,153.0,1384,57673,610,Spring 2015,"Production I.G, Madhouse","Comedy, Sports, Shounen"
Girls & Panzer Movie,Movie,1,PG-13 - Teens 13 or older,8.42,155.0,1626,45725,763,,Actas,Sports
Shingeki no Kyojin: Kuinaki Sentaku,OVA,2,R - 17+ (violence & profanity),8.42,156.0,504,159538,944,,Wit Studio,"Action, Fantasy, Shoujo"
Cowboy Bebop: Tengoku no Tobira,Movie,1,R - 17+ (violence & profanity),8.41,157.0,438,180246,706,,Bones,"Action, Drama, Mystery, Sci-Fi"
Detective Conan Movie 06: The Phantom of Baker Street,Movie,1,PG-13 - Teens 13 or older,8.41,158.0,1833,38184,107,,TMS Entertainment,"Adventure, Mystery, Shounen"
JoJo no Kimyou na Bouken (TV),TV,26,R - 17+ (violence & profanity),8.41,159.0,166,339574,12556,Fall 2012,David Production,"Action, Adventure, Shounen"
Nanatsu no Taizai: Imashime no Fukkatsu,TV,24,PG-13 - Teens 13 or older,8.41,160.0,349,213740,1623,Winter 2018,A-1 Pictures,"Action, Adventure, Fantasy, Shounen"
Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA,1,PG-13 - Teens 13 or older,8.41,161.0,1736,41409,73,,Brain&#039;s Base,"Drama, Fantasy, Shoujo, Slice of Life"
No Game No Life,TV,12,PG-13 - Teens 13 or older,8.41,162.0,11,970460,31782,Spring 2014,Madhouse,"Adventure, Comedy, Fantasy"
Nodame Cantabile,TV,23,PG-13 - Teens 13 or older,8.41,163.0,381,198927,4443,Winter 2007,J.C.Staff,"Music, Slice of Life, Comedy, Drama, Romance, Josei"
Noragami Aragoto,TV,13,PG-13 - Teens 13 or older,8.41,164.0,66,545009,7040,Fall 2015,Bones,"Action, Adventure, Comedy, Shounen"
Shelter,Music,1,G - All Ages,8.41,165.0,508,158435,1725,,A-1 Pictures,"Sci-Fi, Music"
Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,R - 17+ (violence & profanity),8.4,166.0,169,335814,3954,Spring 2015,ufotable,"Action, Fantasy"
One Outs,TV,25,PG-13 - Teens 13 or older,8.4,167.0,743,115740,2305,Fall 2008,Madhouse,"Sports, Psychological, Seinen"
Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94,PG-13 - Teens 13 or older,8.4,168.0,240,275431,8137,Winter 1996,"Studio Gallop, Studio Deen","Action, Adventure, Comedy, Historical, Romance"
Stranger: Mukou Hadan,Movie,1,R - 17+ (violence & profanity),8.4,169.0,463,173994,2064,,Bones,"Action, Adventure, Historical"
Tsubasa: Tokyo Revelations,OVA,3,R - 17+ (violence & profanity),8.4,170.0,1209,67171,830,,Production I.G,"Action, Adventure, Drama, Romance, Fantasy, Shounen"
Hunter x Hunter: Yorkshin City Kanketsu-hen,OVA,8,PG-13 - Teens 13 or older,8.39,171.0,1198,67870,275,,Nippon Animation,"Action, Adventure, Shounen"
Kono Sekai no Katasumi ni,Movie,1,PG-13 - Teens 13 or older,8.38,172.0,1540,49814,293,,MAPPA,"Historical, Drama, Seinen"
Natsume Yuujinchou,TV,13,PG-13 - Teens 13 or older,8.39,173.0,229,285728,10205,Summer 2008,Brain&#039;s Base,"Slice of Life, Drama, Fantasy, Shoujo"
Toradora!,TV,25,PG-13 - Teens 13 or older,8.39,174.0,13,910373,35322,Fall 2008,J.C.Staff,"Slice of Life, Comedy, Romance"
Hunter x Hunter: Greed Island Final,OVA,14,PG-13 - Teens 13 or older,8.38,175.0,1145,72065,195,,Nippon Animation,"Action, Adventure, Shounen"
Major S1,TV,26,PG-13 - Teens 13 or older,8.38,176.0,1456,54049,908,Fall 2004,Studio Hibari,"Comedy, Sports, Drama, Shounen"
